City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
248,Coquimbo,CL,53.33,clear sky,-29.9533,-71.3436,Punto de encuentro
257,Mazamet,FR,57.22,overcast clouds,43.49,2.373,La Villa de Mazamet
259,Tuatapere,NZ,52.83,moderate rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
261,Treinta Y Tres,UY,55.98,few clouds,-33.2333,-54.3833,Jardines Apart-Hotel
263,Dongying,CN,65.7,light rain,37.4564,118.4856,Wanda Realm
265,Kazanskaya,RU,60.67,light rain,45.4106,40.4361,Tikhiy Dvorik
274,Fortuna,US,61.93,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
276,Antofagasta,CL,56.48,overcast clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
278,Havre-Saint-Pierre,CA,53.96,clear sky,50.2334,-63.5986,Auberge Niapiskau
280,La Ronge,CA,57.45,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
281,Sioux Lookout,CA,62.98,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
283,Porto Torres,IT,66.38,scattered clouds,40.835,8.3972,Hotel Elisa
285,Camacha,PT,68.76,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
286,Anchorage,US,55.69,clear sky,61.2181,-149.9003,Hotel Captain Cook
287,Portland,US,60.73,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
293,Serenje,ZM,57.85,overcast clouds,-13.2325,30.2352,The Kabaso's
300,Pital,CO,68.14,overcast clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
301,Wolfsburg,DE,55.24,few clouds,52.4333,10.8,"The Ritz-Carlton, Wolfsburg"
302,Vao,NC,68.97,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
303,Montevideo,UY,58.71,scattered clouds,-34.8335,-56.1674,KOLPING Hotel
304,Slave Lake,CA,51.78,scattered clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
314,Salisbury,GB,60.42,mist,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
316,General Pico,AR,61.27,clear sky,-35.6566,-63.7568,Euskadi Hotel
317,Gemena,CD,69.44,overcast clouds,3.25,19.7667,Hôtel Goshen
318,Necochea,AR,50.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
322,Kyren,RU,64.53,scattered clouds,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
325,Port Hardy,CA,53.78,light intensity shower rain,50.6996,-127.4199,Airport Inn
328,Dubbo,AU,66.33,clear sky,-32.25,148.6167,Comfort Inn Blue Lagoon
333,Mbandaka,CD,69.66,overcast clouds,0.0487,18.2603,Guest House Epervier
334,Baruun-Urt,MN,57.33,scattered clouds,46.6806,113.2792,Ахмадын амралт сувилал
336,Lasa,IT,58.08,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
346,Aginskoye,RU,54.34,clear sky,51.1,114.53,Кочевник
349,Bury,GB,62.56,overcast clouds,53.6,-2.3,Best Western Manchester Bury Bolholt Country Park Hotel
351,Cachoeira Do Sul,BR,61.03,scattered clouds,-30.0392,-52.8939,Rede Bonnel Tropical Hotel Confort
352,Kaeo,NZ,63.32,overcast clouds,-35.1,173.7833,Bushido Lodge
353,Mikumi,TZ,65.79,scattered clouds,-7.4041,36.9831,Morio Motel and Campsite
355,Tobermory,CA,60.87,scattered clouds,45.2501,-81.6665,Escarpment Heights Motel
359,Baie-Saint-Paul,CA,57.18,overcast clouds,47.4411,-70.4986,Hôtel Baie-Saint-Paul
360,Zeya,RU,53.6,clear sky,53.75,127.2667,Kapital Inn
362,Woodburn,US,60.33,light rain,45.1437,-122.8554,Best Western Woodburn
363,Belluno,IT,65.34,overcast clouds,46.145,12.2214,Hotel Europa Executive
364,Capao Bonito,BR,62.42,broken clouds,-24.0058,-48.3494,HOTEL PASSARIM
367,Ahipara,NZ,57.69,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
368,Torres,BR,68.83,few clouds,-29.3353,-49.7269,Farol Hotel
369,Inhambane,MZ,65.34,overcast clouds,-23.865,35.3833,Oceano
370,Abbeville,FR,58.5,overcast clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
371,Asau,RO,53.76,few clouds,46.4333,26.4,Casa Mika Ciobanus
374,Luanda,AO,68.74,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
375,Stokmarknes,NO,50.38,overcast clouds,68.5646,14.9108,Vesterålen Kysthotell
377,Pacific Grove,US,66.76,broken clouds,36.6177,-121.9166,Lovers Point Inn
378,Kawambwa,ZM,68.52,clear sky,-9.7915,29.0791,Chembe Nsofu
380,Halifax,CA,68.68,overcast clouds,44.6453,-63.5724,Hotel Halifax
381,Margate,GB,61.95,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
383,Makambako,TZ,52.12,few clouds,-8.8453,34.823,Viva Lwid Lodge
386,Kasongo,CD,67.21,overcast clouds,-4.45,26.6667,Guest Hôtel
387,Khilok,RU,59.95,broken clouds,51.3674,110.4676,"Gostevoy Dom ""Magnit"""
389,Kropotkin,RU,61.36,light rain,45.4375,40.5756,Hotel Europe Kropotkin
