City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Cidreira,BR,-30.1811,-50.2056,63.73,94,14,4.63,few clouds
141,Waipawa,NZ,-41.4122,175.5153,52.45,65,34,15.19,scattered clouds
142,Esperance,AU,-33.8667,121.9,58.84,83,97,16.75,light rain
143,Kapaa,US,22.0752,-159.319,85.98,67,40,5.01,scattered clouds
144,Nanae,JP,41.8833,140.6833,73.63,68,20,9.22,few clouds
145,Sorland,NO,67.667,12.6934,51.84,75,100,16.67,overcast clouds
146,Havoysund,NO,70.9963,24.6622,43.68,74,98,9.8,overcast clouds
147,Diplo,PK,24.4667,69.584,85.55,72,77,14.76,broken clouds
148,Sambava,MG,-14.2667,50.1667,71.51,84,100,6.55,overcast clouds
149,Ratnagiri,IN,16.9833,73.3,78.93,85,62,6.71,broken clouds
150,Iskateley,RU,67.6803,53.1512,38.01,75,100,16.82,overcast clouds
151,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,83,88,14.97,overcast clouds
152,Avarua,CK,-21.2078,-159.775,77.05,69,20,17.27,few clouds
153,Ambon,ID,-3.6954,128.1814,89.74,58,20,3.44,few clouds
154,Fukue,JP,32.6881,128.8419,79.16,73,40,14.97,scattered clouds
155,Sola,VU,-13.8833,167.55,79.75,79,14,21.85,few clouds
156,Sinnamary,GF,5.3833,-52.95,78.46,87,63,6.76,broken clouds
157,Gold Coast,AU,-28.0,153.4333,87.17,51,24,14.97,few clouds
158,East London,ZA,-33.0153,27.9116,59.88,77,72,23.91,light rain
159,Bundaberg,AU,-24.85,152.35,80.22,49,2,7.0,clear sky
160,Naze,JP,28.3667,129.4833,83.32,66,10,3.91,clear sky
161,Hare Bay,CA,48.8499,-54.0148,65.55,88,100,12.08,overcast clouds
162,Fairbanks,US,64.8378,-147.7164,44.56,58,90,8.05,overcast clouds
163,Saskylakh,RU,71.9167,114.0833,30.88,82,37,3.69,scattered clouds
164,Bathsheba,BB,13.2167,-59.5167,75.81,88,20,3.44,few clouds
165,Beyneu,KZ,45.3167,55.2,55.29,46,1,7.31,clear sky
166,Padang,ID,-0.9492,100.3543,80.65,94,100,2.48,overcast clouds
167,Chamba,IN,32.5667,76.1333,75.16,90,80,2.17,broken clouds
168,Tirumullaivasal,IN,11.2333,79.8333,85.06,68,100,7.63,overcast clouds
169,Carballo,ES,43.213,-8.691,57.9,90,65,2.93,broken clouds
170,Shahdadkot,PK,27.8477,67.9055,95.92,37,5,6.62,clear sky
171,Santo Tomas,PH,14.1079,121.1414,80.85,73,100,7.61,overcast clouds
172,Bezlyudivka,UA,49.8718,36.2952,55.83,88,75,8.95,broken clouds
173,Harper,LR,4.375,-7.7169,76.69,87,59,7.99,light rain
174,New Norfolk,AU,-42.7826,147.0587,60.71,68,84,4.0,broken clouds
175,Alihe,CN,50.5667,123.7167,57.13,43,0,3.85,clear sky
176,Paita,PE,-5.0892,-81.1144,63.84,82,2,12.35,clear sky
177,Riviere-Au-Renard,CA,48.9957,-64.3971,53.6,71,99,14.45,overcast clouds
178,Caxito,AO,-8.5785,13.6643,67.46,89,22,1.54,few clouds
179,Hervey Bay,AU,-25.2986,152.8535,80.04,64,3,9.33,clear sky
180,Dangriga,BZ,16.9692,-88.2321,82.98,82,86,10.25,overcast clouds
181,Jupiter,US,26.9342,-80.0942,83.08,90,100,3.44,overcast clouds
182,Garden City,US,42.3256,-83.331,66.45,57,20,1.99,few clouds
183,Ribeira Grande,PT,38.5167,-28.7,68.02,69,68,6.51,broken clouds
184,Chumikan,RU,54.7183,135.315,53.08,46,93,19.8,overcast clouds
185,Ca Mau,VN,9.1769,105.15,86.76,65,100,8.95,overcast clouds
186,Neiafu,TO,-18.65,-173.9833,83.08,78,75,8.05,light rain
187,Caucaia,BR,-3.7361,-38.6531,80.55,73,40,13.8,scattered clouds
188,Khani,GE,41.9563,42.9566,53.17,76,37,5.91,scattered clouds
189,Ponta Do Sol,PT,32.6667,-17.1,72.23,65,12,7.18,few clouds
190,Codrington,AU,-38.2667,141.9667,53.06,91,100,20.02,light rain
191,Cherskiy,RU,68.75,161.3,35.04,55,21,13.8,few clouds
192,Cerkezkoy,TR,41.285,28.0003,59.18,100,0,2.3,clear sky
193,Te Anau,NZ,-45.4167,167.7167,44.69,93,100,3.13,overcast clouds
194,Nome,US,64.5011,-165.4064,48.16,71,75,12.66,broken clouds
195,Krasnoborsk,RU,61.5598,45.934,34.93,85,100,6.33,light rain
196,Vestmannaeyjar,IS,63.4427,-20.2734,50.4,88,15,19.42,few clouds
197,Tukrah,LY,32.5341,20.5791,78.91,44,0,2.53,clear sky
198,Celestun,MX,20.8667,-90.4,81.91,82,69,13.33,broken clouds
199,Talnakh,RU,69.4865,88.3972,40.95,97,100,4.16,light rain
200,Hermanus,ZA,-34.4187,19.2345,56.89,76,2,5.39,clear sky
201,Nishihara,JP,26.1842,127.7558,85.28,75,20,8.05,few clouds
202,Victoria,HK,22.2855,114.1577,91.96,80,58,3.0,broken clouds
203,Beira,MZ,-19.8436,34.8389,71.69,64,40,14.97,scattered clouds
204,Vaitape,PF,-16.5167,-151.75,78.03,76,44,18.16,light rain
205,Phangnga,TH,8.4509,98.5298,84.24,68,93,3.74,overcast clouds
206,San Cristobal,VE,7.7669,-72.225,77.18,97,100,3.31,overcast clouds
207,Dunedin,NZ,-45.8742,170.5036,50.81,79,100,10.0,overcast clouds
208,Bindura,ZW,-17.3019,31.3306,55.02,90,1,2.15,clear sky
209,Ilembula,TZ,-8.9,34.5833,57.06,78,18,5.66,few clouds
210,Tiksi,RU,71.6872,128.8694,34.38,74,100,18.21,overcast clouds
211,Kruisfontein,ZA,-34.0033,24.7314,49.89,76,3,3.47,clear sky
212,Jaguaquara,BR,-13.5306,-39.9708,57.09,98,13,1.48,few clouds
213,The Valley,AI,18.217,-63.0578,82.81,73,2,13.29,clear sky
214,Sinjai,ID,-5.1241,120.253,82.98,64,99,6.55,light rain
215,Sobolevo,RU,54.4299,31.8996,42.26,94,100,17.92,light rain
216,Samarai,PG,-10.6167,150.6667,78.6,87,100,19.22,overcast clouds
217,Shumskiy,RU,54.8318,99.1328,59.72,68,77,2.59,broken clouds
218,Jiuquan,CN,39.7432,98.5174,75.96,18,41,18.81,scattered clouds
219,Uren,RU,57.4552,45.7852,31.15,93,3,4.99,clear sky
220,Bambous Virieux,MU,-20.3428,57.7575,70.21,88,75,11.5,light rain
221,Saint George,US,37.1041,-113.5841,75.63,61,1,1.01,clear sky
222,Southbridge,US,42.0751,-72.0334,70.12,95,75,4.59,broken clouds
223,Victor Harbor,AU,-35.5667,138.6167,66.72,59,17,4.0,few clouds
224,Walvis Bay,NA,-22.9575,14.5053,51.1,87,0,3.44,clear sky
225,Binga,ZW,-17.6203,27.3414,69.24,69,41,13.69,scattered clouds
226,Korla,CN,41.7597,86.1469,79.79,18,0,1.45,clear sky
227,Faanui,PF,-16.4833,-151.75,78.04,75,45,18.05,light rain
228,Trincomalee,LK,8.5711,81.2335,81.12,79,92,7.47,overcast clouds
229,Mahebourg,MU,-20.4081,57.7,70.25,88,75,11.5,light rain
230,Chino Valley,US,34.7575,-112.4538,72.36,82,90,9.22,overcast clouds
231,Albania,AL,41.0,20.0,67.39,84,24,4.03,few clouds
232,Saldanha,ZA,-33.0117,17.9442,57.25,89,100,20.74,overcast clouds
233,Pilar,BR,-9.5972,-35.9567,71.53,91,29,1.81,scattered clouds
234,Baghmara,IN,23.795,86.2085,83.28,71,96,6.26,overcast clouds
235,Arman,RU,59.7,150.1667,50.59,79,50,5.17,scattered clouds
236,Vostok,RU,46.4856,135.8833,52.18,43,95,8.43,overcast clouds
237,Sidi Ali,DZ,36.0998,0.4206,69.87,72,0,1.07,clear sky
238,Vestmanna,FO,62.1564,-7.1664,52.72,94,90,16.11,overcast clouds
239,Filingue,NE,14.3521,3.3168,82.81,66,100,15.82,overcast clouds
240,Manokwari,ID,-0.8667,134.0833,82.96,71,93,10.87,overcast clouds
